Description,Department,Category,Vendor,Amount
Design Tools expense - Creative,Creative,Design Tools,Premier Rentals,16600
Stock Media expense - Creative,Creative,Stock Media,Global Services LLC,13700
Freelancers expense - Creative,Creative,Freelancers,Talent Agency Plus,13100
Freelancers expense - Creative,Creative,Freelancers,Metro Supplies,12900
Studio Rental expense - Creative,Creative,Studio Rental,Creative Studios,12800
Stock Media expense - Creative,Creative,Stock Media,Design Hub,11900
Design Tools expense - Creative,Creative,Design Tools,Quality Catering,11300
Studio Rental expense - Creative,Creative,Studio Rental,Premier Rentals,8300
Stock Media expense - Creative,Creative,Stock Media,Talent Agency Plus,8300
Stock Media expense - Creative,Creative,Stock Media,Creative Studios,7100
Design Tools expense - Creative,Creative,Design Tools,Professional Services,6600
Studio Rental expense - Creative,Creative,Studio Rental,Quality Catering,3000
Studio Rental expense - Creative,Creative,Studio Rental,Creative Studios,2700
Studio Rental expense - Creative,Creative,Studio Rental,Elite Consulting,2400
Stock Media expense - Creative,Creative,Stock Media,Talent Agency Plus,1000
Legal expense - Finance,Finance,Legal,Tech Solutions Inc,19600
Auditing expense - Finance,Finance,Auditing,Cloud Systems,19000
Auditing expense - Finance,Finance,Auditing,Metro Supplies,17500
Banking Fees expense - Finance,Finance,Banking Fees,Cloud Systems,17100
Auditing expense - Finance,Finance,Auditing,Premier Rentals,13600
Banking Fees expense - Finance,Finance,Banking Fees,Talent Agency Plus,10900
Auditing expense - Finance,Finance,Auditing,Talent Agency Plus,9900
Legal expense - Finance,Finance,Legal,ABC Equipment Co,8600
Legal expense - Finance,Finance,Legal,ABC Equipment Co,8200
Auditing expense - Finance,Finance,Auditing,Innovate Tech,5900
Banking Fees expense - Finance,Finance,Banking Fees,Tech Solutions Inc,5900
Banking Fees expense - Finance,Finance,Banking Fees,Metro Supplies,5000
Accounting expense - Finance,Finance,Accounting,Tech Solutions Inc,4500
Accounting expense - Finance,Finance,Accounting,Digital Marketing Pro,4000
Accounting expense - Finance,Finance,Accounting,Professional Services,2800
Banking Fees expense - Finance,Finance,Banking Fees,Tech Solutions Inc,770
Contractor payment - Human Resources,Human Resources,Salaries,Elite Consulting,51500
Executive compensation - Human Resources,Human Resources,Salaries,Metro Supplies,38900
Contractor payment - Human Resources,Human Resources,Salaries,ABC Equipment Co,28700
Training expense - Human Resources,Human Resources,Training,Quality Catering,11600
Benefits expense - Human Resources,Human Resources,Benefits,ABC Equipment Co,11400
Benefits expense - Human Resources,Human Resources,Benefits,Talent Agency Plus,10700
Benefits expense - Human Resources,Human Resources,Benefits,Premier Rentals,5700
Training expense - Human Resources,Human Resources,Training,Talent Agency Plus,1500
Benefits expense - Human Resources,Human Resources,Benefits,Creative Studios,1400
PR expense - Marketing,Marketing,PR,Design Hub,17000
Social Media expense - Marketing,Marketing,Social Media,Tech Solutions Inc,15000
PR expense - Marketing,Marketing,PR,Creative Studios,13400
Events expense - Marketing,Marketing,Events,Elite Consulting,10500
Content Creation expense - Marketing,Marketing,Content Creation,Quality Catering,10400
Events expense - Marketing,Marketing,Events,Elite Consulting,8200
Billboard rental - Marketing,Marketing,Advertising,Creative Studios,7600
Content Creation expense - Marketing,Marketing,Content Creation,Quality Catering,960
PR expense - Marketing,Marketing,PR,Quality Catering,570
Utilities expense - Operations,Operations,Utilities,XYZ Productions,19700
Utilities expense - Operations,Operations,Utilities,Metro Supplies,18500
Utilities expense - Operations,Operations,Utilities,Cloud Systems,16700
Insurance expense - Operations,Operations,Insurance,Creative Studios,2900
Rent expense - Operations,Operations,Rent,Innovate Tech,760
Printer paper - Operations,Operations,Office Supplies,Elite Consulting,550
Consultant fees - Production,Production,Talent,Creative Studios,50300
Crew wages - Production,Production,Talent,Modern Office Supply,36800
Actor fees - Production,Production,Talent,Media Experts,36600
